"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/4/21","1","DSCN2511","3","1234",0.473806177,36.84896161,"PZ","0","full","light","no rain","Walking","hock","brown with some green","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","light","2403","2403","1","","1","","","","","","","","","","Rongai Area","0.001056888","0.00358958","100",0.4528,0.2649,"2021","6","4","12","34","","","","4"
"6/4/21","1","DSCN2512","1","1244",0.466227576,36.8506015,"PZ","0","full","light","no rain","Standing","hoof","","Cenchrus ciliaris","Pennisetum mezzianum","Digitaria macroblefara","Chloris roxburghiana","medium","2404","2459","18","1","","1","1","1","","","","1","","","Rongai Area","0.000555913","0.002410775","240",0.4309,0.2614,"2021","6","4","12","44","Impala","","","4"
"6/4/21","1","DSCN2512","2","1251",0.462679441,36.84788225,"PZ","1","full","no wind","no rain","Grazing","belly","green with some brown","Cynodon nlemfuensis","Bothriochloa insculpta","Chloris roxburghiana","Cymbopogon pospischilii","medium","2460","2490","10","1","4","","1","2","","","","2","","","","0.003821054","0.006835822","240",0.4244,0.2509,"2021","6","4","12","51","Giraffe","","","4"
"6/4/21","1","DSCN2512","2","1251",0.462679441,36.84788225,"GZ","1","full","no wind","no rain","Grazing","belly","green with some brown","Cynodon nlemfuensis","Bothriochloa insculpta","Chloris roxburghiana","Cymbopogon pospischilii","medium","2460","2490","1","","","1","","","","","","","","","","0.003821054","0.006835822","240",0.4244,0.2509,"2021","6","4","12","51","Giraffe","","","4"
"6/7/21","1","DSCN2744","1","1100",0.469817537,36.85597013,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Themeda triandra","Enteropogon macrostachyus","Bothriochloa insculpta","Cenchrus ciliaris","medium","2519","2558","10","1","","","2","2","","","1","1","","","Loitoiporeki Area ","0.005669764","0.003270442","120",0.4619,0.2659,"2021","6","7","11","0","","","","4"
"6/7/21","1","DSCN2744","2","1133",0.463384325,36.84910361,"PZ","0","full","light","no rain","Standing","hoof","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Eragrostis tenuifolia","Cenchrus ciliaris","medium","2559","2572","6","1","","","2","1","","","","1","","1","Rongai Area (Old Boma 2019)","0.002460657","0.005620932","240",0.4188,0.2464,"2021","6","7","11","33","Impala","","","4"
"6/7/21","1","DSCN2744","3","1156",0.462712747,36.84819748,"PZ","0","full","medium","no rain","Grazing","hock","brown with some green","Cenchrus ciliaris","Cynodon plectostachyus","Microchloa kunthii","Chloris roxburghiana","medium","2573","2602","9","1","","","4","","","","1","3","","","Rongai Area (Old Boma 2019)","0.003508515","0.006642339","240",0.4188,0.2464,"2021","6","7","11","56","","","","4"
"6/7/21","1","DSCN2745","1","1213",0.469371946,36.85240759,"GZ","0","full","light","no rain","Grazing","belly","brown with some green","Cymbopogon pospischilii","Cenchrus ciliaris","Bothriochloa insculpta","Chloris roxburghiana","medium","2603","2640","8","","8","","","","","","","","","","Nairoshi Area","0.002205942","0.001256623","240",0.4713,0.2737,"2021","6","7","12","13","Eland","","","4"
"6/7/21","1","DSCN2745","2","1258",0.46055664,36.83395197,"PZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Microchloa kunthii","Cynodon plectostachyus","Pennisetum stramineum","medium","2641","2650","2","","2","","","","","","","","","","Lolakirding Area","0.008776385","0.005423447","250",0.4353,0.2669,"2021","6","7","12","58","Giraffe"," Impala","","4"
"6/7/21","1","DSCN2745","3","1303",0.466059446,36.83595656,"GZ","0","full","light","no rain","Walking","hock","green with some brown","Microchloa kunthii","Cenchrus ciliaris","Pennisetum stramineum","Chloris roxburghiana","medium","2651","2661","3","","3","","","","","","","","","","Lolakirding Area","0.007703143","0.00030538","80",0.4083,0.2489,"2021","6","7","13","3","","","","4"
"6/7/21","1","DSCN2746","1","1314",0.470322378,36.83921785,"PZ","0","full","light","no rain","Grazing","belly","brown with some green","Eragrostis racemosa","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","medium","2662","2678","8","1","","1","3","","","","2","1","","","Ngaremata Dam Area ","0.004552513","0.005376739","80",0.4551,0.2701,"2021","6","7","13","14","","","","4"
